time,G(i),H_sun,T2m,WS10m,,Price
20160324:1411,86.72,26.2,6.23,6.18,24-03-2016,20.8
20160324:1511,24.39,19.62,5.94,6.26,24-03-2016,20.68
20160324:1611,27.1,12.03,5.63,6.35,24-03-2016,20.69
20160324:1711,3.61,3.92,5.31,6.44,24-03-2016,20.87
20160324:1811,0,0,5,6.52,24-03-2016,21.05
20160324:1911,0,0,4.94,6.38,24-03-2016,21.14
20160324:2011,0,0,4.89,6.24,24-03-2016,21.08
20160324:2111,0,0,4.83,6.1,24-03-2016,20.84
20160324:2211,0,0,4.92,6.08,24-03-2016,20.53
20160324:2311,0,0,5,6.07,24-03-2016,20.3
20160325:0011,0,0,5.09,6.06,25-03-2016,20.7
20160325:0111,0,0,5.13,5.96,25-03-2016,20.28
20160325:0211,0,0,5.16,5.87,25-03-2016,20.25
20160325:0311,0,0,5.2,5.78,25-03-2016,19.99
20160325:0411,0,0,5.25,5.72,25-03-2016,20.01
20160325:0511,0,0,5.3,5.66,25-03-2016,20.3
20160325:0611,9.03,7.07,5.34,5.6,25-03-2016,20.26
20160325:0711,26.2,15.06,5.53,5.07,25-03-2016,20.39
20160325:0811,86.72,22.37,5.71,4.54,25-03-2016,20.82
20160325:0911,181.8,28.51,5.89,4.01,25-03-2016,21.05
20160325:1011,156.39,32.91,5.91,4.79,25-03-2016,21.05
20160325:1111,266.25,35.03,5.92,5.56,25-03-2016,20.9
20160325:1211,171.92,34.57,5.93,6.33,25-03-2016,20.75
20160325:1311,841.95,31.6,6.15,6.86,25-03-2016,20.42
20160325:1411,699,26.53,6.37,7.4,25-03-2016,20.31
20160325:1511,514.88,19.92,6.59,7.93,25-03-2016,20.28
20160325:1611,279.07,12.32,5.91,7.51,25-03-2016,20.36
20160325:1711,51.67,4.2,5.22,7.09,25-03-2016,20.47
20160325:1811,0,0,4.54,6.68,25-03-2016,20.83
20160325:1911,0,0,4.17,6.64,25-03-2016,21.01
20160325:2011,0,0,3.79,6.61,25-03-2016,20.8
20160325:2111,0,0,3.42,6.58,25-03-2016,20.54
20160325:2211,0,0,3.31,6.29,25-03-2016,20.45
20160325:2311,0,0,3.21,5.99,25-03-2016,20.15
20160326:0011,0,0,3.1,5.7,26-03-2016,20.82
20160326:0111,0,0,2.95,5.44,26-03-2016,20.54
20160326:0211,0,0,2.79,5.18,26-03-2016,20.43
20160326:0311,0,0,2.64,4.92,26-03-2016,20
20160326:0411,0,0,2.68,5.37,26-03-2016,20
20160326:0511,0,0,2.72,5.82,26-03-2016,20.01
20160326:0611,43.6,7.44,2.77,6.26,26-03-2016,20.01
20160326:0711,279.17,15.44,4.1,6.88,26-03-2016,20.47
20160326:0811,281.1,22.76,5.44,7.5,26-03-2016,20.88
20160326:0911,467.36,28.91,6.78,8.12,26-03-2016,21.11
20160326:1011,844.35,33.31,7.38,8.56,26-03-2016,20.91
20160326:1111,919.19,35.43,7.98,9,26-03-2016,19.97
20160326:1211,922.51,34.95,8.58,9.43,26-03-2016,19.06
20160326:1311,816.49,31.96,8.74,9.73,26-03-2016,18.26
20160326:1411,286.68,26.86,8.91,10.02,26-03-2016,16.29
20160326:1511,94.92,20.23,9.07,10.32,26-03-2016,15.75
20160326:1611,58.72,12.61,8.69,10.29,26-03-2016,15.85
20160326:1711,13.96,4.49,8.3,10.26,26-03-2016,19.39
20160326:1811,0,0,7.92,10.23,26-03-2016,20.12
20160326:1911,0,0,8.15,10.35,26-03-2016,20.09
20160326:2011,0,0,8.38,10.46,26-03-2016,19.94
20160326:2111,0,0,8.61,10.58,26-03-2016,17.99
20160326:2211,0,0,8.83,10.84,26-03-2016,17.91
20160326:2311,0,0,9.04,11.1,26-03-2016,14.66
20160327:0011,0,0,9.26,11.37,27-03-2016,7.33
20160327:0111,0,0,8.92,11.49,27-03-2016,3.04
20160327:0211,0,0,8.59,11.61,27-03-2016,3.04
20160327:0311,0,0,8.25,11.74,27-03-2016,6.1
20160327:0411,0,0,8.01,11.04,27-03-2016,4.02
20160327:0511,0,0,7.77,10.35,27-03-2016,4.02
20160327:0611,7.23,7.82,7.53,9.66,27-03-2016,0.91
20160327:0711,18.07,15.81,7.39,8.82,27-03-2016,4.63
20160327:0811,51.49,23.14,7.25,7.99,27-03-2016,7.5
20160327:0911,101.18,29.3,7.11,7.16,27-03-2016,8.91
20160327:1011,92.14,33.71,6.79,7.2,27-03-2016,17.31
20160327:1111,105.69,35.82,6.46,7.25,27-03-2016,17.36
20160327:1211,163.6,35.33,6.14,7.3,27-03-2016,16.81
20160327:1311,211.1,32.32,6.34,7.69,27-03-2016,16.02
20160327:1411,602.87,27.19,6.55,8.09,27-03-2016,15.43
20160327:1511,505.32,20.54,6.75,8.48,27-03-2016,15.52
20160327:1611,267.82,12.9,6.54,8.6,27-03-2016,15.98
20160327:1711,26.85,4.77,6.33,8.72,27-03-2016,17.03
20160327:1811,0,0,6.12,8.84,27-03-2016,17.54
20160327:1911,0,0,6.05,8.91,27-03-2016,19.6
20160327:2011,0,0,5.97,8.97,27-03-2016,20.43
20160327:2111,0,0,5.9,9.03,27-03-2016,19.87
20160327:2211,0,0,5.98,9.07,27-03-2016,19.5
20160327:2311,0,0,6.05,9.11,27-03-2016,18.5
20160328:0011,0,0,6.13,9.14,28-03-2016,12.88
20160328:0111,0,0,6.03,9.24,28-03-2016,8.28
20160328:0211,0,0,5.92,9.34,28-03-2016,7.43
20160328:0311,0,0,5.82,9.43,28-03-2016,6.5
20160328:0411,0,0,5.83,9.55,28-03-2016,5.27
20160328:0511,0,0,5.84,9.66,28-03-2016,6.28
20160328:0611,21.68,8.19,5.84,9.78,28-03-2016,5.86
20160328:0711,120.63,16.19,6.77,10.35,28-03-2016,5.96
20160328:0811,289.01,23.53,7.7,10.93,28-03-2016,3.99
20160328:0911,75.88,29.69,8.62,11.5,28-03-2016,3.41
20160328:1011,113.82,34.11,8.98,11.7,28-03-2016,2.68
20160328:1111,154.47,36.22,9.33,11.89,28-03-2016,0.07
20160328:1211,105.69,35.71,9.69,12.08,28-03-2016,-0.77
20160328:1311,52.4,32.67,9.11,12.38,28-03-2016,-12.17
20160328:1411,36.13,27.52,8.54,12.68,28-03-2016,-13.37
20160328:1511,38.84,20.84,7.96,12.98,28-03-2016,-13.45
20160328:1611,52.4,13.19,7.68,13.23,28-03-2016,-13.44
20160328:1711,40.57,5.05,7.41,13.48,28-03-2016,-4.2
20160328:1811,0,0,7.13,13.72,28-03-2016,7.45
20160328:1911,0,0,6.81,13.55,28-03-2016,11.79
20160328:2011,0,0,6.49,13.37,28-03-2016,17.02
20160328:2111,0,0,6.17,13.2,28-03-2016,11.47
20160328:2211,0,0,6.15,13.2,28-03-2016,16.29
20160328:2311,0,0,6.12,13.19,28-03-2016,12.98
20160329:0011,0,0,6.1,13.19,29-03-2016,11.51
20160329:0111,0,0,6,12.55,29-03-2016,9.14
20160329:0211,0,0,5.89,11.92,29-03-2016,11.95
20160329:0311,0,0,5.79,11.28,29-03-2016,9.23
20160329:0411,0,0,5.72,10.65,29-03-2016,8.3
20160329:0511,0,0,5.65,10.02,29-03-2016,13.49
20160329:0611,20.78,8.56,5.59,9.39,29-03-2016,23.65
20160329:0711,138.58,16.56,6.01,9.36,29-03-2016,22.56
20160329:0811,370.29,23.91,6.44,9.32,29-03-2016,21.37
20160329:0911,396.54,30.09,6.86,9.28,29-03-2016,21.37
20160329:1011,229.83,34.51,7.05,9.05,29-03-2016,21.24
20160329:1111,204.54,36.61,7.24,8.82,29-03-2016,21.06
20160329:1211,264.27,36.09,7.43,8.59,29-03-2016,20.43
20160329:1311,379.14,33.02,7.31,8.65,29-03-2016,19.99
20160329:1411,294.48,27.84,7.18,8.7,29-03-2016,19.83
20160329:1511,225.76,21.14,7.06,8.76,29-03-2016,19.72
20160329:1611,111,13.48,6.59,8.13,29-03-2016,19.14
20160329:1711,15.36,5.34,6.11,7.5,29-03-2016,21.48
20160329:1811,0,0,5.64,6.87,29-03-2016,21.2
20160329:1911,0,0,5.44,6.52,29-03-2016,21.34
20160329:2011,0,0,5.25,6.18,29-03-2016,21.4
20160329:2111,0,0,5.05,5.83,29-03-2016,21.14
20160329:2211,0,0,5.06,5.68,29-03-2016,20.5
20160329:2311,0,0,5.07,5.52,29-03-2016,20.08
20160330:0011,0,0,5.08,5.37,30-03-2016,20.3
20160330:0111,0,0,4.62,4.91,30-03-2016,20.13
20160330:0211,0,0,4.15,4.46,30-03-2016,20.2
20160330:0311,0,0,3.69,4,30-03-2016,19.92
20160330:0411,0,0,3.66,3.84,30-03-2016,20.18
20160330:0511,0,0,3.63,3.69,30-03-2016,21.08
20160330:0611,67.92,8.93,3.6,3.53,30-03-2016,21.67
20160330:0711,185.22,16.94,4.2,3.49,30-03-2016,22.21
20160330:0811,398.7,24.29,4.8,3.44,30-03-2016,23.14
20160330:0911,321.42,30.48,5.4,3.39,30-03-2016,22.53
20160330:1011,328.51,34.9,5.69,2.94,30-03-2016,21.99
20160330:1111,305.4,37.01,5.97,2.48,30-03-2016,21.83
20160330:1211,249.17,36.47,6.25,2.03,30-03-2016,21.64
20160330:1311,162.66,33.37,6.37,1.83,30-03-2016,21.58
20160330:1411,151.9,28.17,6.48,1.62,30-03-2016,21.51
20160330:1511,190.94,21.44,6.6,1.42,30-03-2016,21.39
20160330:1611,173.32,13.77,6.04,1.65,30-03-2016,21.34
20160330:1711,56.47,5.62,5.48,1.88,30-03-2016,21.51
20160330:1811,0,0,4.92,2.11,30-03-2016,21.69
20160330:1911,0,0,4.54,2.55,30-03-2016,21.88
20160330:2011,0,0,4.17,2.99,30-03-2016,21.9
20160330:2111,0,0,3.79,3.43,30-03-2016,21.69
20160330:2211,0,0,3.75,3.64,30-03-2016,21.35
20160330:2311,0,0,3.7,3.85,30-03-2016,21.04
20160331:0011,0,0,3.66,4.06,31-03-2016,20.55
20160331:0111,0,0,3.69,4.35,31-03-2016,20.24
20160331:0211,0,0,3.71,4.65,31-03-2016,20.16
20160331:0311,0,0,3.74,4.95,31-03-2016,20.22
20160331:0411,0,0,3.76,5.14,31-03-2016,20.61
20160331:0511,0,0,3.78,5.34,31-03-2016,21.54
20160331:0611,131.94,9.29,3.81,5.53,31-03-2016,22.28
20160331:0711,267.71,17.31,4.73,6.01,31-03-2016,24.08
20160331:0811,588.89,24.67,5.65,6.5,31-03-2016,24.9
20160331:0911,782.38,30.87,6.57,6.98,31-03-2016,24.93
20160331:1011,918.42,35.3,6.71,7.55,31-03-2016,24.13
20160331:1111,981.76,37.4,6.85,8.13,31-03-2016,24.05
20160331:1211,976.54,36.84,6.99,8.7,31-03-2016,22.02
20160331:1311,892.38,33.72,6.73,9.08,31-03-2016,23.49
20160331:1411,741.44,28.49,6.48,9.46,31-03-2016,19.94
20160331:1511,542.42,21.74,6.22,9.83,31-03-2016,21.52
20160331:1611,308.95,14.05,5.46,9.31,31-03-2016,21.39
20160331:1711,76.76,5.9,4.69,8.8,31-03-2016,21.47
20160331:1811,0,0,3.93,8.28,31-03-2016,21.57
20160331:1911,0,0,3.55,7.97,31-03-2016,21.67
20160331:2011,0,0,3.17,7.67,31-03-2016,21.78
20160331:2111,0,0,2.79,7.37,31-03-2016,21.69
20160331:2211,0,0,2.58,6.8,31-03-2016,21.29
20160331:2311,0,0,2.37,6.24,31-03-2016,20.43
20160401:0011,0,0,2.16,5.68,1/4/2016,20.69
20160401:0111,0,0,1.8,5.43,1/4/2016,20.31
20160401:0211,0,0,1.45,5.18,1/4/2016,20.34
20160401:0311,0,0,1.09,4.92,1/4/2016,20.14
20160401:0411,0,0,1.13,4.5,1/4/2016,20.62
20160401:0511,0,0,1.17,4.08,1/4/2016,21.26
20160401:0611,129.66,9.66,1.21,3.66,1/4/2016,22.06
20160401:0711,352.75,17.68,2.84,3.32,1/4/2016,24.27
20160401:0811,580.69,25.05,4.47,2.98,1/4/2016,26.67
20160401:0911,760.35,31.26,6.09,2.65,1/4/2016,33.42
20160401:1011,894.83,35.69,6.63,3.2,1/4/2016,32.06
20160401:1111,929.51,37.79,7.17,3.74,1/4/2016,28.98
20160401:1211,776.19,37.22,7.71,4.29,1/4/2016,25.17
20160401:1311,713.69,34.07,7.59,4.82,1/4/2016,21.93
20160401:1411,458.24,28.81,7.47,5.36,1/4/2016,21.74
20160401:1511,144.38,22.04,7.36,5.89,1/4/2016,21.62
20160401:1611,99.15,14.34,6.66,5.67,1/4/2016,21.57
20160401:1711,29.08,6.18,5.95,5.46,1/4/2016,21.69
20160401:1811,0,0,5.25,5.24,1/4/2016,25.9
20160401:1911,0,0,5.07,5.58,1/4/2016,21.89
20160401:2011,0,0,4.89,5.91,1/4/2016,21.93
20160401:2111,0,0,4.71,6.25,1/4/2016,21.76
20160401:2211,0,0,5.07,6.57,1/4/2016,21.5
20160401:2311,0,0,5.43,6.88,1/4/2016,21.06
20160402:0011,0,0,5.79,7.2,2/4/2016,19.26
20160402:0111,0,0,5.9,7.15,2/4/2016,20.8
20160402:0211,0,0,6.02,7.11,2/4/2016,20.6
20160402:0311,0,0,6.14,7.06,2/4/2016,19.84
20160402:0411,0,0,6.39,7.02,2/4/2016,19.91
20160402:0511,0,0,6.63,6.97,2/4/2016,20.09
20160402:0611,28.91,10.03,6.88,6.92,2/4/2016,20.19
20160402:0711,58.72,18.05,7.3,6.91,2/4/2016,20.79
20160402:0811,123.65,25.43,7.72,6.91,2/4/2016,21.14
20160402:0911,371.85,31.64,8.14,6.9,2/4/2016,21.33
20160402:1011,390.53,36.09,8.39,6.64,2/4/2016,20.81
20160402:1111,319.38,38.18,8.65,6.39,2/4/2016,20.08
20160402:1211,310.17,37.59,8.9,6.14,2/4/2016,19.77
20160402:1311,203.46,34.42,9.03,5.81,2/4/2016,19.76
20160402:1411,247.19,29.13,9.16,5.49,2/4/2016,19.36
20160402:1511,137.95,22.34,9.29,5.16,2/4/2016,19.28
20160402:1611,150.36,14.62,8.28,4.51,2/4/2016,18.96
20160402:1711,41.34,6.46,7.27,3.86,2/4/2016,20.12
20160402:1811,0,0,6.26,3.21,2/4/2016,22.31
20160402:1911,0,0,5.29,2.94,2/4/2016,21.72
20160402:2011,0,0,4.32,2.67,2/4/2016,21.55
20160402:2111,0,0,3.35,2.4,2/4/2016,21.38
20160402:2211,0,0,3.15,2.35,2/4/2016,21.17
20160402:2311,0,0,2.96,2.31,2/4/2016,20.92
20160403:0011,0,0,2.76,2.26,3/4/2016,19.59
20160403:0111,0,0,3.39,2.37,3/4/2016,18.07
20160403:0211,0,0,4.03,2.47,3/4/2016,18.56
20160403:0311,0,0,4.67,2.58,3/4/2016,18.52
20160403:0411,0,0,5.27,3.34,3/4/2016,18.29
20160403:0511,0,0,5.88,4.1,3/4/2016,18.4
20160403:0611,22.58,10.39,6.48,4.86,3/4/2016,18.43
20160403:0711,31.62,18.42,7.22,5.36,3/4/2016,18.57
20160403:0811,77.69,25.81,7.95,5.87,3/4/2016,19.03
20160403:0911,129.18,32.03,8.68,6.37,3/4/2016,19.41
20160403:1011,104.79,36.48,9.04,6.42,3/4/2016,19.72
20160403:1111,112.02,38.57,9.41,6.47,3/4/2016,19.83
20160403:1211,65.04,37.96,9.77,6.52,3/4/2016,19.29
20160403:1311,74.98,34.76,9.9,6.27,3/4/2016,19.18
20160403:1411,78.59,29.45,10.03,6.02,3/4/2016,19.15
20160403:1511,60.53,22.64,10.16,5.77,3/4/2016,19.58
20160403:1611,34.33,14.9,9.43,5.23,3/4/2016,20.12
20160403:1711,41.93,6.73,8.71,4.69,3/4/2016,19.29
20160403:1811,0,0,7.98,4.15,3/4/2016,21.19
20160403:1911,0,0,7.32,3.83,3/4/2016,23.15
20160403:2011,0,0,6.65,3.5,3/4/2016,22.02
20160403:2111,0,0,5.98,3.17,3/4/2016,21.68
20160403:2211,0,0,5.94,2.76,3/4/2016,21.38
20160403:2311,0,0,5.89,2.34,3/4/2016,20.71
20160404:0011,0,0,5.85,1.93,4/4/2016,20.5
20160404:0111,0,0,5.37,1.75,4/4/2016,19.59
20160404:0211,0,0,4.89,1.56,4/4/2016,19.16
20160404:0311,0,0,4.41,1.38,4/4/2016,19.15
20160404:0411,0,0,5.16,2.16,4/4/2016,19.34
20160404:0511,3.35,2.52,5.92,2.94,4/4/2016,20.39
20160404:0611,24.39,10.75,6.67,3.72,4/4/2016,22.35
20160404:0711,65.95,18.79,7.57,4.13,4/4/2016,23.98
20160404:0811,88.53,26.18,8.47,4.54,4/4/2016,27.04
20160404:0911,193.99,32.41,9.37,4.95,4/4/2016,31.4
20160404:1011,103.89,36.87,9.91,5.22,4/4/2016,28.67
20160404:1111,82.21,38.95,10.44,5.49,4/4/2016,24.3
20160404:1211,86.72,38.33,10.98,5.77,4/4/2016,22.81
20160404:1311,86.72,35.1,11.27,6.11,4/4/2016,23.26
20160404:1411,65.95,29.76,11.56,6.46,4/4/2016,23.09
20160404:1511,56.91,22.93,11.86,6.8,4/4/2016,22.49
20160404:1611,105.48,15.19,11.26,6.91,4/4/2016,22.48
20160404:1711,14.45,7.01,10.65,7.03,4/4/2016,22.7
20160404:1811,0,0,10.05,7.14,4/4/2016,22.91
20160404:1911,0,0,9.42,7.05,4/4/2016,22.92
20160404:2011,0,0,8.79,6.95,4/4/2016,23.5
20160404:2111,0,0,8.16,6.86,4/4/2016,22.71
20160404:2211,0,0,7.82,7.03,4/4/2016,22.02
20160404:2311,0,0,7.47,7.2,4/4/2016,21.23
20160405:0011,0,0,7.13,7.37,5/4/2016,20.21
20160405:0111,0,0,6.62,6.6,5/4/2016,20.04
20160405:0211,0,0,6.11,5.84,5/4/2016,20.02
20160405:0311,0,0,5.61,5.08,5/4/2016,19.82
20160405:0411,0,0,5.67,4.57,5/4/2016,20.08
20160405:0511,10.05,2.88,5.73,4.07,5/4/2016,21.26
20160405:0611,38.84,11.11,5.79,3.57,5/4/2016,22.87
20160405:0711,137.79,19.15,6.6,3.45,5/4/2016,31.98
20160405:0811,439.54,26.56,7.4,3.32,5/4/2016,34.41
20160405:0911,200.19,32.8,8.2,3.2,5/4/2016,34.08
20160405:1011,247.59,37.26,8.65,3.47,5/4/2016,33.28
20160405:1111,182.44,39.34,9.09,3.74,5/4/2016,32.14
20160405:1211,202.33,38.7,9.54,4.01,5/4/2016,26.46
20160405:1311,128.28,35.45,9.34,4.16,5/4/2016,25.94
20160405:1411,105.69,30.08,9.13,4.31,5/4/2016,24.15
20160405:1511,138.63,23.22,8.93,4.46,5/4/2016,23.61
20160405:1611,45.17,15.46,8.27,4.53,5/4/2016,23.39
20160405:1711,31.62,7.29,7.62,4.61,5/4/2016,25.26
20160405:1811,0,0,6.96,4.69,5/4/2016,23.6
20160405:1911,0,0,6.73,4.38,5/4/2016,24.81
20160405:2011,0,0,6.5,4.06,5/4/2016,24.29
20160405:2111,0,0,6.27,3.75,5/4/2016,23.06
20160405:2211,0,0,6.33,3.58,5/4/2016,22.35
20160405:2311,0,0,6.4,3.41,5/4/2016,21.27
20160406:0011,0,0,6.46,3.24,6/4/2016,20
20160406:0111,0,0,6.27,3.78,6/4/2016,19.2
20160406:0211,0,0,6.08,4.33,6/4/2016,19.06
20160406:0311,0,0,5.9,4.87,6/4/2016,18.95
20160406:0411,0,0,5.97,5.39,6/4/2016,19.02
20160406:0511,7.54,3.24,6.03,5.91,6/4/2016,20
20160406:0611,46.07,11.47,6.1,6.43,6/4/2016,21.6
20160406:0711,90.91,19.51,6.45,7.03,6/4/2016,22.89
20160406:0811,118.34,26.93,6.79,7.62,6/4/2016,23.32
20160406:0911,136.41,33.18,7.13,8.22,6/4/2016,22.91
20160406:1011,126.47,37.64,7.51,8.3,6/4/2016,22.68
20160406:1111,316.36,39.72,7.89,8.39,6/4/2016,21.97
20160406:1211,233.96,39.06,8.27,8.47,6/4/2016,21.25
20160406:1311,314.66,35.79,8.29,8.3,6/4/2016,20.72
20160406:1411,237.15,30.39,8.3,8.14,6/4/2016,20.62
20160406:1511,92.14,23.52,8.32,7.97,6/4/2016,20.21
20160406:1611,54.2,15.74,7.68,7.8,6/4/2016,20.09
20160406:1711,37.02,7.56,7.05,7.63,6/4/2016,21.59
20160406:1811,0,0,6.41,7.46,6/4/2016,21.7
20160406:1911,0,0,6.26,7.34,6/4/2016,21.88
20160406:2011,0,0,6.11,7.21,6/4/2016,21.98
20160406:2111,0,0,5.96,7.09,6/4/2016,21.46
20160406:2211,0,0,5.77,7.26,6/4/2016,20.15
20160406:2311,0,0,5.59,7.42,6/4/2016,19.01
20160407:0011,0,0,5.4,7.59,7/4/2016,16.42
20160407:0111,0,0,5.08,7.33,7/4/2016,16
20160407:0211,0,0,4.76,7.08,7/4/2016,15.94
20160407:0311,0,0,4.45,6.83,7/4/2016,15.42
20160407:0411,0,0,4.71,6.45,7/4/2016,16.82
20160407:0511,14.23,3.6,4.96,6.06,7/4/2016,17.37
20160407:0611,93.08,11.83,5.22,5.68,7/4/2016,22.25
20160407:0711,155.49,19.87,5.77,5.63,7/4/2016,21.62
20160407:0811,143.27,27.3,6.32,5.58,7/4/2016,22.03
20160407:0911,182.19,33.56,6.86,5.53,7/4/2016,21.93
20160407:1011,340.21,38.03,6.91,5.69,7/4/2016,21.55
20160407:1111,523.96,40.1,6.95,5.85,7/4/2016,21.46
20160407:1211,710.22,39.42,7,6.01,7/4/2016,21.35
20160407:1311,384.09,36.12,6.89,5.39,7/4/2016,21.26
20160407:1411,438.62,30.7,6.77,4.76,7/4/2016,21.19
20160407:1511,513.68,23.81,6.66,4.14,7/4/2016,20.96
20160407:1611,298.3,16.02,6.2,4.23,7/4/2016,21.07
20160407:1711,84.25,7.83,5.75,4.31,7/4/2016,21.23
20160407:1811,0,0,5.29,4.4,7/4/2016,21.47
20160407:1911,0,0,5,4.81,7/4/2016,21.85
20160407:2011,0,0,4.71,5.23,7/4/2016,21.87
20160407:2111,0,0,4.41,5.64,7/4/2016,21.49
20160407:2211,0,0,4.45,5.77,7/4/2016,20.96
20160407:2311,0,0,4.48,5.9,7/4/2016,20.03
20160408:0011,0,0,4.52,6.03,8/4/2016,19.55
20160408:0111,0,0,4.49,6.18,8/4/2016,19.29
20160408:0211,0,0,4.46,6.33,8/4/2016,19.24
20160408:0311,0,0,4.43,6.48,8/4/2016,19.3
20160408:0411,0,0,4.67,6.47,8/4/2016,19.64
20160408:0511,10.88,3.95,4.91,6.46,8/4/2016,20.32
20160408:0611,18.97,12.18,5.15,6.46,8/4/2016,21.28
20160408:0711,102.27,20.23,5.93,6.85,8/4/2016,22.63
20160408:0811,229.38,27.66,6.7,7.24,8/4/2016,23.79
20160408:0911,346.18,33.93,7.48,7.63,8/4/2016,23.83
20160408:1011,649.23,38.41,7.6,7.93,8/4/2016,23.52
20160408:1111,922.96,40.48,7.71,8.23,8/4/2016,22.99
20160408:1211,929.96,39.79,7.83,8.52,8/4/2016,22.87
20160408:1311,829.36,36.46,7.6,8.72,8/4/2016,22.61
20160408:1411,566.74,31.01,7.36,8.92,8/4/2016,22.29
20160408:1511,511.92,24.09,7.13,9.12,8/4/2016,21.67
20160408:1611,281.73,16.3,6.51,8.52,8/4/2016,21.69
20160408:1711,84.89,8.1,5.88,7.93,8/4/2016,21.85
20160408:1811,0,0,5.26,7.34,8/4/2016,22.25
20160408:1911,0,0,4.65,7.09,8/4/2016,22.18
20160408:2011,0,0,4.04,6.84,8/4/2016,22.05
20160408:2111,0,0,3.43,6.59,8/4/2016,22.03
20160408:2211,0,0,3.36,6.48,8/4/2016,21.46
20160408:2311,0,0,3.3,6.36,8/4/2016,20.96
20160409:0011,0,0,3.23,6.25,9/4/2016,21.2
20160409:0111,0,0,3.05,5.94,9/4/2016,20.83
20160409:0211,0,0,2.88,5.64,9/4/2016,20.71
20160409:0311,0,0,2.71,5.34,9/4/2016,20.79
20160409:0411,0,0,2.97,4.96,9/4/2016,20.77
20160409:0511,19.26,4.3,3.24,4.58,9/4/2016,21.02
20160409:0611,165.16,12.53,3.5,4.21,9/4/2016,21.36
20160409:0711,390.97,20.59,4.89,4.02,9/4/2016,21.4
20160409:0811,597.75,28.03,6.27,3.84,9/4/2016,22.11
20160409:0911,653.98,34.31,7.65,3.66,9/4/2016,22.51
20160409:1011,900.72,38.79,8.06,3.56,9/4/2016,22.4
20160409:1111,976.65,40.85,8.46,3.47,9/4/2016,22.25
20160409:1211,978.41,40.14,8.87,3.38,9/4/2016,21.83
20160409:1311,870.28,36.79,8.91,2.41,9/4/2016,20.81
20160409:1411,732.38,31.32,8.94,1.44,9/4/2016,20.2
20160409:1511,494.84,24.38,8.98,0.47,9/4/2016,20.35
20160409:1611,244.7,16.57,8.4,0.94,9/4/2016,20.3
20160409:1711,57.9,8.37,7.83,1.41,9/4/2016,22.27
20160409:1811,0,0,7.25,1.88,9/4/2016,22.58
20160409:1911,0,0,6.68,2.47,9/4/2016,22.52
20160409:2011,0,0,6.11,3.07,9/4/2016,22.36
20160409:2111,0,0,5.54,3.67,9/4/2016,22.14
20160409:2211,0,0,5.33,3.86,9/4/2016,21.74
20160409:2311,0,0,5.11,4.05,9/4/2016,21.25
20160410:0011,0,0,4.9,4.23,10/4/2016,21.13
20160410:0111,0,0,4.71,4.53,10/4/2016,20.03
20160410:0211,0,0,4.52,4.83,10/4/2016,19.73
20160410:0311,0,0,4.33,5.13,10/4/2016,19.59
20160410:0411,0,0,4.51,5.31,10/4/2016,19.6
20160410:0511,20.1,4.65,4.7,5.49,10/4/2016,19.5
20160410:0611,150.02,12.88,4.88,5.67,10/4/2016,19.55
20160410:0711,356.17,20.94,6.12,5.66,10/4/2016,19.66
20160410:0811,601.68,28.39,7.35,5.64,10/4/2016,20.22
20160410:0911,790.05,34.68,8.58,5.63,10/4/2016,20.97
20160410:1011,465.97,39.17,9.21,5.54,10/4/2016,21.05
20160410:1111,616.48,41.23,9.83,5.46,10/4/2016,21.06
20160410:1211,551.92,40.5,10.46,5.38,10/4/2016,20.28
20160410:1311,593.94,37.12,10.41,5.6,10/4/2016,20.12
20160410:1411,354,31.62,10.36,5.83,10/4/2016,20.03
20160410:1511,112.02,24.67,10.31,6.06,10/4/2016,20.07
20160410:1611,80.86,16.84,9.55,5.84,10/4/2016,20.45
20160410:1711,56.14,8.64,8.79,5.63,10/4/2016,20.79
20160410:1811,0,0,8.03,5.42,10/4/2016,20.78
20160410:1911,0,0,7.17,5.13,10/4/2016,22.44
20160410:2011,0,0,6.31,4.83,10/4/2016,21.96
20160410:2111,0,0,5.44,4.54,10/4/2016,21.89
20160410:2211,0,0,4.94,4.37,10/4/2016,21.84
20160410:2311,0,0,4.45,4.2,10/4/2016,19.57
20160411:0011,0,0,3.95,4.03,11/4/2016,20.02
20160411:0111,0,0,3.68,4.02,11/4/2016,19.4
20160411:0211,0,0,3.41,4.01,11/4/2016,19.33
20160411:0311,0,0,3.14,4,11/4/2016,19.54
20160411:0411,0,0,3.51,3.92,11/4/2016,20.3
20160411:0511,23.44,5,3.87,3.84,11/4/2016,18.55
20160411:0611,177,13.22,4.24,3.77,11/4/2016,24.99
20160411:0711,405.7,21.29,5.75,3.91,11/4/2016,24.76
20160411:0811,632.49,28.75,7.25,4.06,11/4/2016,28.98
20160411:0911,811.78,35.04,8.75,4.21,11/4/2016,26.55
20160411:1011,935.35,39.54,9.27,4.29,11/4/2016,24.04
20160411:1111,989.82,41.6,9.8,4.36,11/4/2016,22.96
20160411:1211,983.24,40.86,10.32,4.44,11/4/2016,22.52
20160411:1311,888.27,37.45,10.27,4.73,11/4/2016,22.36
20160411:1411,746.53,31.93,10.22,5.02,11/4/2016,22.12
20160411:1511,538.8,24.95,10.18,5.31,11/4/2016,21.83
20160411:1611,309.07,17.11,9.33,5.22,11/4/2016,22.06
20160411:1711,97.72,8.91,8.48,5.13,11/4/2016,22.35
